ticker,year_from,year_to,word_count_change_pct,text_similarity,text_change_score,excess_volatility
BURL,2022,2023,3.482544071897684,0.9928500026961522,0.007149997303847799,0.21848138705103035
CHWY,2020,2021,6.4511240212174785,0.9872060086010674,0.012793991398932558,0.3514343436744133
CHWY,2021,2022,6.748291571753986,0.9961988816986291,0.003801118301370865,0.83991398302438
CHWY,2022,2023,-0.8224415399662132,0.9951212770829143,0.004878722917085687,0.5133609372129552
COST,2019,2020,18.446230386528896,0.9492213872079135,0.05077861279208651,0.04172026836954895
COST,2020,2021,-1.938610662358643,0.991427400075474,0.00857259992452597,0.09904173536854813
COST,2021,2022,-4.085667215815486,0.9922846510631378,0.00771534893686221,0.04583160487162524
COST,2022,2023,-0.6183442116111302,0.9937723207493481,0.00622767925065193,0.08714994753344683
CVNA,2019,2020,6.295154387741015,0.9924358092673612,0.007564190732638809,1.202648240090545
CVNA,2020,2021,5.528377851855059,0.9948584415525477,0.0051415584474523435,0.5167526892191238
CVNA,2021,2022,8.578109616015754,0.9798156839860278,0.020184316013972192,1.1217027580246919
CVNA,2022,2023,7.726602939509577,0.9858119936527727,0.014188006347227278,1.2019945628439421
CVS,2019,2020,-28.258638385220664,0.9474712331797284,0.05252876682027163,0.009665336253826706
CVS,2020,2021,22.1586393260213,0.9784861260764326,0.021513873923567406,0.07359553944002473
CVS,2021,2022,-0.3903708523096942,0.9946449919287272,0.00535500807127276,0.016551697220185818
CVS,2022,2023,0.8970172000870891,0.9944128303627751,0.005587169637224942,0.061039369352948764
DG,2019,2020,8.447613823368075,0.983357492597327,0.016642507402673035,-0.12871162001435787
DG,2020,2021,22.508851795649974,0.9685921387777902,0.03140786122220984,0.08487527898745052
DG,2021,2022,11.629507294247178,0.9858699829946852,0.014130017005314799,0.20798668053864144
DG,2022,2023,-8.913820737270374,0.9722608702836658,0.027739129716334188,0.33276146922780436
DKS,2019,2020,15.602006688963211,0.9654608626119253,0.03453913738807468,0.5316480655312374
DKS,2020,2021,36.019094459713585,0.8479232748860598,0.15207672511394021,0.35759498591342986
DKS,2021,2022,10.549824524088057,0.9687710277668689,0.031228972233131147,0.3472787053710472
DKS,2022,2023,-18.075998075998076,0.9652729643872766,0.03472703561272339,0.1816935029900661
DLTR,2019,2020,16.966490299823633,0.94470974421668,0.05529025578332003,0.10199370369856076
DLTR,2020,2021,9.665259348612787,0.9409317422701516,0.05906825772984836,0.15522830287156572
DLTR,2021,2022,39.37852330537605,0.8994025894900393,0.10059741050996074,0.3465942197706896
DLTR,2022,2023,-5.6328302259051,0.9619965906947358,0.038003409305264246,0.2221971232791563
ETSY,2019,2020,5.700545422555861,0.900785892319113,0.09921410768088701,0.44037488606384123
ETSY,2020,2021,32.89685401986351,0.9574307316544969,0.04256926834550312,0.5598397591752977
ETSY,2021,2022,13.364228456913827,0.9616183502658318,0.038381649734168244,0.6308097034814849
ETSY,2022,2023,-1.5357419069716054,0.9846582131591171,0.015341786840882943,0.2522315801481092
FIVE,2019,2020,5.86287652426714,0.9932873334665551,0.006712666533444933,0.42540847510728375
FIVE,2020,2021,-19.307346098100542,0.971155796216277,0.028844203783722988,0.2429914471490583
FIVE,2021,2022,6.693136698808849,0.9919341021080947,0.00806589789190526,0.3050492787061523
FIVE,2022,2023,-3.393584972532341,0.9728110429367667,0.02718895706323332,0.21419856483738967
GME,2019,2020,-2.5435704192180877,0.9657109817516678,0.03428901824833219,1.0703397030983635
GME,2020,2021,92.39568229418398,0.8418899319755352,0.1581100680244648,1.6856528752175108
GME,2021,2022,-36.710768715458045,0.9251521638109202,0.07484783618907975,1.17783108901852
GME,2022,2023,39.26964805504102,0.8403196301486191,0.1596803698513809,0.5335496723144194
HD,2019,2020,15.451238524164213,0.9806490699237086,0.019350930076291406,0.05277976745921176
HD,2020,2021,36.99924981245311,0.9574787759714778,0.04252122402852221,0.07610946840664708
HD,2021,2022,7.260979082247289,0.9841933098232911,0.015806690176708882,0.057242013513301104
HD,2022,2023,0.6432509699816213,0.9791886826326632,0.020811317367336768,0.09434575240402626
KR,2019,2020,60.17375400091449,0.8935286568412824,0.10647134315871765,-0.022324476793013026
KR,2020,2021,24.43619754496146,0.9394576449405478,0.06054235505945216,0.15841070483764605
KR,2021,2022,19.454003211745814,0.978281579756382,0.02171842024361803,0.061070431015449345
KR,2022,2023,4.782024198194738,0.9723296904718215,0.027670309528178505,0.07516260917923452
KSS,2019,2020,10.912240184757506,0.9613181907619227,0.03868180923807729,1.03189797938457
KSS,2020,2021,29.411764705882355,0.9170506243676737,0.0829493756323263,0.3732110183337414
KSS,2021,2022,-3.4392598551890585,0.9822979596277887,0.017702040372211347,0.3745989975830771
KSS,2022,2023,-4.228285773797126,0.9576326209209429,0.04236737907905708,0.4682221044095596
LOW,2019,2020,-3.5474108944182916,0.9481489120855519,0.051851087914448146,0.11506121583059636
LOW,2020,2021,5.8392888269130205,0.9636649706019866,0.03633502939801336,0.11365927756196033
LOW,2021,2022,15.711462450592887,0.9732759387193305,0.02672406128066951,0.08863432022446416
LOW,2022,2023,3.600910902362653,0.9858459010020553,0.01415409899794473,0.11308341317656548
