ticker,filing_year,risk_text_length,realized_volatility,excess_volatility
DG,2023,50908,0.4536504108177449,0.33276146922780436
DKS,2019,39942,0.2811879096893871,0.16505072310190402
DKS,2020,46515,0.9375569510613377,0.5316480655312374
DKS,2021,63056,0.4703228154794758,0.35759498591342986
DKS,2022,70048,0.6261606966765539,0.3472787053710472
DKS,2023,57443,0.3020740060320817,0.1816935029900661
DLTR,2019,37728,0.23268796505969078,0.11594244499097053
DLTR,2020,43960,0.507902589228661,0.10199370369856076
DLTR,2021,48276,0.2745105878319734,0.15522830287156572
DLTR,2022,66996,0.6047544396028166,0.3465942197706896
DLTR,2023,63668,0.35871867084982567,0.2221971232791563
ETSY,2019,109829,0.444702400423521,0.330323674314633
ETSY,2020,116640,1.069764676529837,0.44037488606384123
ETSY,2021,157371,0.7040476103050267,0.5598397591752977
ETSY,2022,178941,0.8919236950414772,0.6308097034814849
ETSY,2023,176500,0.39833416819713074,0.2522315801481092
FIVE,2019,81468,0.33319180633005285,0.21650100614854434
FIVE,2020,86103,0.8434444106062512,0.42540847510728375
FIVE,2021,69524,0.3576888808033458,0.2429914471490583
FIVE,2022,74543,0.5942362878672627,0.3050492787061523
FIVE,2023,71985,0.34237042041129073,0.21419856483738967
GME,2019,42232,0.8377878793806517,0.7220317253360722
GME,2020,40945,1.3954126491681071,1.0703397030983635
GME,2021,77774,1.7992165453199824,1.6856528752175108
GME,2022,49936,1.4405706549490815,1.17783108901852
GME,2023,69867,0.6551838157841139,0.5335496723144194
GPS,2019,37694,,
GPS,2020,38439,,
GPS,2021,58684,,
GPS,2022,57105,,
GPS,2023,57607,,
HD,2019,39736,0.17222278598907897,0.05553198580757045
HD,2020,45763,0.4081086199999245,0.05277976745921176
HD,2021,63134,0.188837297972693,0.07610946840664708
HD,2022,67972,0.33612400481880783,0.057242013513301104
HD,2023,68512,0.22678249212979093,0.09434575240402626
JWN,2019,30526,,
JWN,2020,33037,,
JWN,2021,43599,,
JWN,2022,46475,,
JWN,2023,47813,,
KR,2019,14907,0.24070777134913385,0.12495161730455438
KR,2020,23752,0.28457421215351164,-0.022324476793013026
KR,2021,29464,0.27332903095380573,0.15841070483764605
KR,2022,35188,0.3418082176470364,0.061070431015449345
KR,2023,36845,0.19679675264892904,0.07516260917923452
KSS,2019,23865,0.4433619237923848,0.3282905072609417
KSS,2020,26404,1.4495288761217522,1.03189797938457
KSS,2021,33727,0.4879084519880289,0.3732110183337414
KSS,2022,32637,0.6373385635136387,0.3745989975830771
KSS,2023,31377,0.5963939599834607,0.4682221044095596
LOW,2019,40202,0.33534806681937246,0.219591912774793
LOW,2020,39084,0.5153828454697267,0.11506121583059636
LOW,2021,41548,0.22789165293229466,0.11365927756196033
LOW,2022,48130,0.3604970076617295,0.08863432022446416
LOW,2023,49871,0.23482785953049132,0.11308341317656548
M,2019,35758,0.30803974384783694,0.1921157147469778
M,2020,44100,1.1796663795264164,0.8606951363746274
M,2021,50635,0.5352781079744329,0.42010116491657934
M,2022,53674,0.7457551680835665,0.4636404017025929
M,2023,61323,0.5083554176639556,0.38746647607401513
ORLY,2019,21823,0.19318615674099293,0.08149770566205379
ORLY,2020,22552,0.7819127257094048,0.15278903391188037
ORLY,2021,26856,0.17028699085144916,0.026079139721720157
ORLY,2022,28629,0.42219654467044127,0.15770757983494793
ORLY,2023,30684,0.1720746739172911,0.025949272227656223
RH,2019,139040,0.3027842377834212,0.13499820867904955
RH,2020,161408,0.9406405469576932,0.621669303805904
RH,2021,166302,0.46761277310274063,0.3526944469865809
RH,2022,129579,0.6848965047908052,0.3957094956296948
RH,2023,110596,0.3889014074384036,0.26866510664166066
ROST,2019,33217,0.21813566185492853,0.10237950781034906
ROST,2020,38715,0.6368127427963238,0.3146357340401895
ROST,2021,44528,0.25730870554246704,0.14239037942630736
ROST,2022,44341,0.6360538545599754,0.3553160679283884
ROST,2023,42226,0.20381900970212485,0.08218486623243033
TGT,2019,25565,0.2906196910697934,0.16850219920612058
TGT,2020,27198,0.5972602724495043,0.027870808865493424
TGT,2021,32739,0.23298238283125855,0.11282432682223416
TGT,2022,33020,0.6310580304282116,0.37102151036858355
TGT,2023,29602,0.2734099883426245,0.129757833061495
TJX,2019,49363,0.1781998290849896,0.06227579998413045
TJX,2020,53718,0.5774491538587049,0.25237620778896125
TJX,2021,59090,0.2369770102952469,0.12176938601297839
TJX,2022,61107,0.4090683590366459,0.1198813498755355
TJX,2023,62728,0.1582081166564673,0.037971815859724325
